Explanations,,,,,,,,,,,,,General study info and demographics,,,,,,,,,,,,,,,Design,,,,,Variables,,,,,,Conditions,,,,,,,,,,,,,,"If DV is a scale (If has M, SD, N info for ANOVA/t-test), if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,,"If DV is counts of participants, if not move to the next section",,,,,,,,,,,,,,,,,,,,,,,,,,If DV is proportions,,,,,,,,,,,,,,,,,,,,,,,,"* SUMMARY section - Converting all effects to Cohen's d. REMEMBER - this is ONLY about the contrast for the effect you care about, NOT the general effect",,,,,,,,,,,,,Moderators,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,,,,,Statistics,,,,,,,,,,,,,,,,,,,Descriptives,,,,,Statistics,,,,,,,,,,,,,,,,,,,,,Descriptives,,,,Statistics,,,,,,,,,,,,,,,,,,,,If DV was scale,,,,If DV was counts,,If DV was proportions,,,,,,,,,,,,,,,,,,,,,,
,Turley et al. (1995),7,4,1,1,1,DV: Victim responsibility,Lucas,7/29/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,66,66,,,,37,29,,,,,4,2x2,1x2,collapsed the conditions for inaction and action penetrator behaviour,Between,exception vs. routine victim behavior,action vs. inaction perpetrator behavior,Manipulated,taking an extra block to get milk on route home vs. deciding against taking extra block and go home directly (origninally frames as action vs. inaction),considered walking to the convenience store vs. using the convenience store next door,,taking extra block to go shopping on way home,going home on direct route,Yes,collapsed the conditions for inaction and action penetrator behaviour,33,33,Ns computed from df,"only total N of 66 was provided, calculated N for conditions through 66/2 conditions = 33 participants per condition",Victim responsibility,"After reading the scenario, participants responded to a series of questions that were identical to those in Study 3. Participants rated the extent to which: they thought that the rape victim felt responsible,, Each of these ratings was made on a 9-point scale ranging from 1 (not at all) to 9 (verymuch), Each of these ratings was made on a 9-point scale ranging from 1 (not at all) to 9 (verymuch)",4 - self blame,No,No,Yes,"Participants believed that the victim would feel more responsible (action M = 5.10; inaction M = 3.84), feel more regret (action M = 7.90; inaction M = 6.68), and feel more to blame (action M = 5.51; inaction M = 4.36) for the rape when it was preceded by action than by inaction.",p.298,5.1,3.84,,,Reported for each cell,,"There were main effects for victim on the measures of victim responsibility, F(1,58) = 4.05 , p< .05; victim regret, F(1,58) = 4.43 , p< .04; and victim blame, F(1, 58) = 3.35, p = .072. ",,4.05,"1, 58",,, p<.05,Two tail p,yes,0.048823,,0.5,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=33, n2=33, F=4.05, Output: Cohen's d = 0.5",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=33, n2=33, F=4.05, Output: Cohen's d = 0.5","How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",No,,0.5,"Every evening after dinner Karen gets her exercise by walking around her neighborhood. As she approached the end of her walk she remembered that she needed to pick up some milk for breakfast in the morning. [Karen thought about walking an extra block out of her way to the convenience store to pick up some milk, but then decided against it./Karen decided to walk an extra block out of her way to the convenience store to pick up some milk.] As Karen continued her walk [home/to the store], he had just passed Phil, when, he grabbed her, dragged her to a secluded area, and raped her.",1,walking an extra block,1,,99,"no info if exception was self induced or forced ""This particular week, however, she had gone to aerobics class on Thursday night, even though she did not usually do so""",3,3,"Responsibility - ""Participants rated the extent to which: they thought that the rape victim felt responsible""",1,rape is exceptional,1,rape - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Every evening after dinner Karen gets her exercise by walking around her neighborhood"""
,Turley et al. (1995),7,4,1,1,2,DV: victim regret,Lucas,7/29/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,66,66,,,,37,29,,,,,4,2x2,1x2,collapsed the conditions for unusual and usual penetrator behaviour,Between,exception vs. routine victim behavior,action vs. inaction perpetrator behavior,Manipulated,taking an extra block to get milk on route home vs. deciding against taking extra block and go home directly (origninally frames as action vs. inaction),considered walking to the convenience store vs. using the convenience store next door,,taking extra block to go shopping on way home,going home on direct route,Yes,collapsed the conditions for unusual and usual penetrator behaviour,33,33,Ns computed from df,"only total N of 66 was provided, calculated N for conditions through 66/2 conditions = 33 participants per condition",victim regret,"After reading the scenario, participants responded to a series of questions that were identical to those in Study 3. Taken from Study 3: Participants rated the extent to which:  they thought that the rape victim felt regretful, Each of these ratings was made on a 9-point scale ranging from 1 (not at all) to 9 (verymuch), Each of these ratings was made on a 9-point scale ranging from 1 (not at all) to 9 (verymuch)",1 - regret,No,No,Yes,"Participants believed that the victim would feel more responsible (action M = 5.10; inaction M = 3.84), feel more regret (action M = 7.90; inaction M = 6.68), and feel more to blame (action M = 5.51; inaction M = 4.36) for the rape when it was preceded by action than by inaction.",p.298,7.9,6.68,,,Reported for each cell,,"There were main effects for victim on the measures of victim responsibility, F(1,58) = 4.0 5 , p< .05; victim regret, F(1,58) = 4.43 , p< .04; and victim blame, F(1, 58) = 3.35, p = .072. ",,4.43,"1, 58",,,p< .04,Two tail p,yes,0.039656,,0.53,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=33, n2=33, F=4.43, Output: Cohen's d = 0.53",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=33, n2=33, F=4.43, Output: Cohen's d = 0.53","How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",No,,0.53,"Every evening after dinner Karen gets her exercise by walking around her neighborhood. As she approached the end of her walk she remembered that she needed to pick up some milk for breakfast in the morning. [Karen thought about walking an extra block out of her way to the convenience store to pick up some milk, but then decided against it./Karen decided to walk an extra block out of her way to the convenience store to pick up some milk.] As Karen continued her walk [home/to the store], he had just passed Phil, when, he grabbed her, dragged her to a secluded area, and raped her.",1,walking an extra block,1,,99,"no info if exception was self induced or forced ""This particular week, however, she had gone to aerobics class on Thursday night, even though she did not usually do so""",1,1,"Regret - ""Participants rated the extent to which: they thought that the rape victim felt regretful""",1,rape is exceptional,1,rape - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Every evening after dinner Karen gets her exercise by walking around her neighborhood"""
,Turley et al. (1995),7,4,1,1,3,DV: victim blame,Lucas,7/29/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,66,66,,,,37,29,,,,,4,2x2,1x2,collapsed the conditions for unusual and usual penetrator behaviour,Between,exception vs. routine victim behavior,action vs. inaction perpetrator behavior,Manipulated,taking an extra block to get milk on route home vs. deciding against taking extra block and go home directly (origninally frames as action vs. inaction),considered walking to the convenience store vs. using the convenience store next door,,taking extra block to go shopping on way home,going home on direct route,Yes,collapsed the conditions for unusual and usual penetrator behaviour,33,33,Ns computed from df,"only total N of 66 was provided, calculated N for conditions through 66/2 conditions = 33 participants per condition",victim blame,"After reading the scenario, participants responded to a series of questions that were identical to those in Study 3. Taken from study 3: Participants rated the extent to which: they thought that the rape victim felt she was to blame, Each of these ratings was made on a 9-point scale ranging from 1 (not at all) to 9 (verymuch)",4 - self blame,No,No,Yes,"Participants believed that the victim would feel more responsible (action M = 5.10; inaction M = 3.84), feel more regret (action M = 7.90; inaction M = 6.68), and feel more to blame (action M = 5.51; inaction M = 4.36) for the rape when it was preceded by action than by inaction.",p.298,5.51,4.36,,,Reported for each cell,,"There were main effects for victim on the measures of victim responsibility, F(1,58) = 4.05 , p< .05; victim regret, F(1,58) = 4.43 , p< .04; and victim blame, F(1, 58) = 3.35, p = .072. ",,3.35,"1, 58",,,p = .072,Two tail p,yes,0.072345,,0.46,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=33, n2=33, F=3.35, Output: Cohen's d = 0.46",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=33, n2=33, F=3.35, Output: Cohen's d = 0.46","How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",No,,0.46,"Every evening after dinner Karen gets her exercise by walking around her neighborhood. As she approached the end of her walk she remembered that she needed to pick up some milk for breakfast in the morning. [Karen thought about walking an extra block out of her way to the convenience store to pick up some milk, but then decided against it./Karen decided to walk an extra block out of her way to the convenience store to pick up some milk.] As Karen continued her walk [home/to the store], he had just passed Phil, when, he grabbed her, dragged her to a secluded area, and raped her.",1,walking an extra block,1,,99,"no info if exception was self induced or forced ""This particular week, however, she had gone to aerobics class on Thursday night, even though she did not usually do so""",3,3,"Blame - ""Participants rated the extent to which: they thought that the rape victim felt she was to blame""",1,rape is exceptional,1,rape - untolerable/ long-term/lasting impact or involves clear physical or mental damage,certainty (always/never/each day),"""Every evening after dinner Karen gets her exercise by walking around her neighborhood"""
,Koonce et al. (2015),9,2,1,1,1,Norm: using derivates; DV: responsibilty,Lucas,7/15/2017,Completed,Gilad,8/1/2017,Yes,On-line,General population,USA,93,93,,,,,,,,,,4,2x2,1x2,"splitted the 2x2 design into two times 1x2, Norm: using derivates, shown behavior: not using derivates (exception) vs using derivated (normal behavior), DV: responsibilty",Between,deviation from firm norm vs acting in line with firm norm,,Manipulated,not using derivates although it is the norm to use derivates (abnormal) vs. using derivates in line with the firm norm (normal),,,act agains firm norm,act in line with firm norm,No,,47,46,Ns reported in the article,,Judged management responsibility,"The responsibility question asks participants how responsible they view firm management for the $2.5 unfavorable effect on net income related to their derivatives decision, with 0 (100) indicating not at all responsible (com- pletely responsible). The blame question asks participants how much they blame man- agement, with 0 (100) indicating no blame (substantial blame). Because participants’ responses to the responsibility and blame measures are highly correlated, we combine responsibility and blame into one average measure (which we label “responsibility”).",4 - self blame,No,No,Yes,,"p.1539, Table 1",76.45,57,15.38,20.56,Reported for each cell,,,,,,,,,,,,,1.07128963,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=76.45, SD1=15.38, M2 = 57, SD2= 20.56, Output: Cohen's d = 1.07128963",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07128963,,,,,,,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=76.45, SD1=15.38, M2 = 57, SD2= 20.56, Output: Cohen's d = 1.07128963",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,1.07128963,"In the experiment, participants are asked to assume the role of an investor who currently has a significant investment in a firm that operates in the snack food business. They are told that the firm purchases various commodities as inputs into their manufacturing process and, so, faces the risk of changes in those market prices. Next, participants are provided with the derivative use manipulation. Specifically, in the use derivatives condition, participants are told that in the current year, the firm decides to enter into derivative contracts to lock in the prices of its planned commodity purchases. In the do not use derivatives condition, participants are told that the firm decides not to enter into derivative contracts.Next, participants are provided with the information for the norm manipulation. In the norm condition, participants are told that most firms in the firm’s industry regu- larly enter into derivative contracts. In the not norm condition, they are told that other firms in the industry do not regularly enter into derivative contracts.8 All participants are informed that as a result of the firm’s derivative decision in the current period and the subsequent change in commodity prices, net income is $2.5 million lower for the year. For past behavior norm: we vary whether or not it was the norm for the firm to use derivatives based on the firm’s own prior behavior (norm or not norm). ",0,not using derivate,1,,99,,3,3,"Judged management responsibility - ""The responsibility question asks participants how responsible they view firm management for the $2.5 unfavorable effect on net income related to their derivatives decision, with 0 (100) indicating not at all responsible (com- pletely responsible). The blame question asks participants how much they blame man- agement, with 0 (100) indicating no blame (substantial blame). Because participants’ responses to the responsibility and blame measures are highly correlated, we combine responsibility and blame into one average measure (which we label “responsibility”).""",0,"In all conditions, the firm’s decision to either use or not use derivatives results in an unfavorable financial impact on the firm’s current period reported earnings as compared to making the opposite derivative decision. Footnote: The unfavorable outcome resulted from a price decrease (increase) when the firm decided to use (not to use) derivatives.",0,"negative firm results, tolerable/short-term/non-lasting impact",can't determine,"""we vary whether or not it was the norm for the firm to use derivatives based on the firm’s own prior behavior (norm or not norm). """
,Koonce et al. (2015),9,2,2,1,1,Norm: not using derivates; DV: responsibilty,Lucas,7/15/2017,Completed,Gilad,8/1/2017,Yes,On-line,General population,USA,93,93,,,,,,,,,,4,2x2,1x2,"splitted the 2x2 design into two times 1x2, Norm: not using derivates, shown behavior: using derivates (exception) vs not using derivated (normal behavior), DV: responsibilty",Between,deviation from firm norm vs acting in line with firm norm,,Manipulated,using derivates although it is the not the firm norm to use derivates (abnormal) vs. not using derivates in line with the firm norm (normal),,,act agains firm norm,act in line with firm norm,No,,47,46,Ns reported in the article,,Judged management responsibility,"The responsibility question asks participants how responsible they view firm management for the $2.5 unfavorable effect on net income related to their derivatives decision, with 0 (100) indicating not at all responsible (com- pletely responsible). The blame question asks participants how much they blame man- agement, with 0 (100) indicating no blame (substantial blame). Because participants’ responses to the responsibility and blame measures are highly correlated, we combine responsibility and blame into one average measure (which we label “responsibility”).",4 - self blame,No,No,Yes,,"p.1539, Table 1",67.49,62.18,18.36,21.66,Reported for each cell,,,,,,,,,,,,,0.26446972,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=67.49, SD1=18.36, M2 = 62.18, SD2= 21.66, Output: Cohen's d = 0.26446972",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26446972,,,,,,,"Calculating Cohen's d from M and SD, https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html, plugged in Means and SD, M1=67.49, SD1=18.36, M2 = 62.18, SD2= 21.66, Output: Cohen's d = 0.26446972",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,0.26446972,"In the experiment, participants are asked to assume the role of an investor who currently has a significant investment in a firm that operates in the snack food business. They are told that the firm purchases various commodities as inputs into their manufacturing process and, so, faces the risk of changes in those market prices. Next, participants are provided with the derivative use manipulation. Specifically, in the use derivatives condition, participants are told that in the current year, the firm decides to enter into derivative contracts to lock in the prices of its planned commodity purchases. In the do not use derivatives condition, participants are told that the firm decides not to enter into derivative contracts.Next, participants are provided with the information for the norm manipulation. In the norm condition, participants are told that most firms in the firm’s industry regu- larly enter into derivative contracts. In the not norm condition, they are told that other firms in the industry do not regularly enter into derivative contracts.8 All participants are informed that as a result of the firm’s derivative decision in the current period and the subsequent change in commodity prices, net income is $2.5 million lower for the year. For past behavior norm: we vary whether or not it was the norm for the firm to use derivatives based on the firm’s own prior behavior (norm or not norm).",1,using derivate,1,,99,,3,3,"Judged management responsibility - ""The responsibility question asks participants how responsible they view firm management for the $2.5 unfavorable effect on net income related to their derivatives decision, with 0 (100) indicating not at all responsible (com- pletely responsible). The blame question asks participants how much they blame man- agement, with 0 (100) indicating no blame (substantial blame). Because participants’ responses to the responsibility and blame measures are highly correlated, we combine responsibility and blame into one average measure (which we label “responsibility”).""",0,"In all conditions, the firm’s decision to either use or not use derivatives results in an unfavorable financial impact on the firm’s current period reported earnings as compared to making the opposite derivative decision. Footnote: The unfavorable outcome resulted from a price decrease (increase) when the firm decided to use (not to use) derivatives.",0,"negative firm results, tolerable/short-term/non-lasting impact",can't determine,"""we vary whether or not it was the norm for the firm to use derivatives based on the firm’s own prior behavior (norm or not norm)."""
,Hooker et al. (2000),34,1,1,1,1,Scenario 2 from the pilot test,Lucas,7/16/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,43,41,"Participants from ""Same/can't tell"" option were dropped",,,,,,,,,1,,,,No manipulation (comparison),past behavior normality,,Measured/compared,Women visits a restaurant that she never visited before vs. Women visits a restaurant that she often visits,,,visiting unusual restaurant,visiting usual restaurant,No,"dropped participants that indicated ""same/can't tell""",,,Ns reported in the article,,regret,Who regrets their choice of restaurant more?,1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ann gets sick after eating at a restaurant she often visits. Sarah gets sick after eating at a restaurant she has never visited before. Who regrets their choice of restaurant more? a) Ann (3, 7%) b) Sara (38, 88%) c) Same/Can't tell (2, 5%)","p.330, Table 1",38,3,"Participants from ""Same/can't tell"" option were dropped",,,,,,,,,,,,,29.878,,,,,,,,"Caculated Chi-square using actual numbers with http://graphpad.com/quickcalcs/chisquared1/, plugged in 38 and 3 compared to 50-50 random chance distribution of 20,5 - 20,5, Output: Chi-square = 29.878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27804,,,,"conversion for Chi-square to Cohen d, plugged in N = 92 and Chi-square = 40.96, Output for Cohen's d: 1.79165604",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,3.27804,"Ann gets sick after eating at a restaurant she often visits. Sarah gets sick after eating at a restaurant she has never visited before. Who regrets their choice of restaurant more? a) Ann (3, 7%) b) Sara (38, 88%) c) Same/Can't tell (2, 5%)",1,changing restaurants,1,,99,no info provided explaining why she went to a new restaurant,1,1,"Regret - ""Who regrets their choice of restaurant more?""",0,getting stomach ache from eating in a restuanrant,0,getting stomach ache from eating in a restuanrant,high frequency (often/regularly/most times/habit,"""after eating at a restaurant she often visits"""
,Hooker et al. (2000),34,1,1,2,1,Scenario 4 from the pilot test,Lucas,7/16/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,43,40,"Participants from ""Same/can't tell"" option were dropped",,,,,,,,,1,,,,No manipulation (comparison),past behavior normality,,Measured/compared,taking new route vs. usual route home,,,taking new route home,usual route home,No,"dropped participants that indicated ""same/can't tell""",,,Ns reported in the article,,regret,Who thinks more about how his accident could have been avoided?,1 - regret,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John gets into a car accident while driving on his usual way home. Bob gets into a car accident while trying a new way home. Who thinks more about how his accident could have been avoided? a) Bob (38, 88%) b) John (2,5%) c) Same/Cant tell (3, 7%)","p.330, Table 1",38,2,"Participants from ""Same/can't tell"" option were dropped",,,,,,,,,,,,,32.4,,,,,,,,"Caculated Chi-square using actual numbers with http://graphpad.com/quickcalcs/chisquared1/, plugged in 38 and 3 compared to 50-50 random chance distribution of 20 - 20, Output: Chi-square = 32.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12948,,,,"conversion for Chi-square to Cohen d, plugged in N = 92 and Chi-square = 40.96, Output for Cohen's d: 1.79165604",https://www.polyu.edu.hk/mm/effectsizefaqs/calculator/calculator.html,No,,4.12948,"John gets into a car accident while driving on his usual way home. Bob gets into a car accident while trying a new way home. Who thinks more about how his accident could have been avoided? a) Bob (38, 88%) b) John (2,5%) c) Same/Cant tell (3, 7%)",1,changing route,1,,1,"""trying a new way""",1,1,"Regret - ""Who thinks more about how his accident could have been avoided?""",0,being involved in a car accident is normal,1,being involved in a car accident,high frequency (often/regularly/most times/habit,"""while driving on his usual way home"""
,McElroy & Dowd (2007),10,1,1,1,1,"Norm: State orientation, Behavior: action (exception) vs. inaction (normal behavior)",Lucas,7/29/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,56,56,,,,,,,,,,4,2x2,1x2,"Splitted the desing into two times 1x2. Norm: State orientation, Behavior: action (exception) vs. inaction (normal behavior)",Between,deviate from personal state orientation vs. acting in line with state orientation,,Manipulated,deviate from personal state orientation vs. acting in line with state orientation,,,deviate from personal state orientation by taking action -> unusual behavior,acting in line with state orientation by staying inaction -> usual behavior,No,,28,28,Ns reported in the article,,regret,"“Given the above situation, how much regret do you feel from going out (not going out)?” We used a 101-point scale where 0 was none at all and 100 represented very much.",1 - regret,No,No,Yes,,"p. 336, Table 1 ",55,49.3,,,Reported for each cell,,"State-oriented participants demonstrated no significant difference in reported regret ratings as a func- tion of whether the task involved action or inaction (F (1, 54) = .03, p > .8).",p.336,0.03,"1,54",,,p > .8,Two tail p,yes,0.863138,,0.05,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=28, n2=28, F=0.03, Output: Cohen's d = 0.05",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=28, n2=28, F=0.03, Output: Cohen's d = 0.05","How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",No,,0.05,"Across both action and inaction conditions, participants were first asked to think about a situation in which they were deciding be- tween going out and staying home. Participants in the action condition were asked to imagine that they decided to go out and then, after going out, they realized that they would have had a better time staying at home. Similarly, participants in the inaction condition imagined that they had decided to stay at home and, after staying at home, they realized that they would have had a better time going out.",1,deviating from state orientation by taking action,1,,99,participants imagine their own scenario,1,1,"Regret  - “Given the above situation, how much regret do you feel from going out (not going out)?” We used a 101-point scale where 0 was none at all and 100 represented very much.""",0,feeling negative about going out or staying home is normal,0,feeling negative about going out or staying home - tolerable/short-term/non-lasting impact,high frequency (often/regularly/most times/habit,state or action orientation indicate a behavioral tendency to that people usually stick
,McElroy & Dowd (2007),10,1,2,1,1,"Norm: Action orientation, Behavior: inaction (exception) vs. action (normal behavior)",Lucas,7/29/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,65,65,,,,,,,,,,4,2x2,1x2,"Splitted the desing into two times 1x2, Norm: Action orientation, Behavior: inaction (exception) vs. action (normal behavior)",Between,deviate from personal action orientation vs. acting in line with action orientation,,Manipulated,deviate from personal action orientation vs. acting in line with action orientation,,,deviate from personal action orientation by staying inactive -> unusual behavior,acting in line with action orientation by taking action -> usual behavior,No,,31,31,Ns reported in the article,,regret,"“Given the above situation, how much regret do you feel from going out (not going out)?” We used a 101-point scale where 0 was none at all and 100 represented very much.",1 - regret,No,No,Yes,,"p. 336, Table 1 ",41.5,52.6,,,Reported for each cell,,"Action-oriented individuals however, did show significant differences in regret ratings across the conditions (F (1, 63) = 17.82, p < .001).",p.336,17.82,"1,63",,,p < .001,Two tail p,yes,0.000079,,1.09,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=31, n2=31, F=17.82, Output: Cohen's d = 1.09",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=31, n2=31, F=17.82, Output: Cohen's d = 1.09","How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",No,,1.09,"Across both action and inaction conditions, participants were first asked to think about a situation in which they were deciding be- tween going out and staying home. Participants in the action condition were asked to imagine that they decided to go out and then, after going out, they realized that they would have had a better time staying at home. Similarly, participants in the inaction condition imagined that they had decided to stay at home and, after staying at home, they realized that they would have had a better time going out.",0,deviating from action orientation by being inactive,1,,99,participants imagine their own scenario,1,1,"Regret  - “Given the above situation, how much regret do you feel from going out (not going out)?” We used a 101-point scale where 0 was none at all and 100 represented very much.""",0,feeling negative about going out or staying home is normal,0,feeling negative about going out or staying home - tolerable/short-term/non-lasting impact,high frequency (often/regularly/most times/habit,state or action orientation indicate a behavioral tendency to that people usually stick
,McElroy & Dowd (2007),10,2,1,1,1,"Norm: State orientation, Behavior: action (exception) vs. inaction (normal behavior)",Lucas,7/29/2017,Completed,Gilad,8/1/2017,Yes,Laboratory,Students,USA,100,100,,,,,,,,,,4,2x2,1x2,"Splitted the desing into two times 1x2. Norm: State orientation, Behavior: action (exception) vs. inaction (normal behavior)",Between,deviate from personal state orientation vs. acting in line with state orientation,,Manipulated,deviate from personal state orientation vs. acting in line with state orientation,,,deviate from personal state orientation by taking action -> unusual behavior,acting in line with state orientation by staying inaction -> usual behavior,No,,50,50,Ns computed from df,"derived N from 98 df = 100 participants, 100/2=50",regret,"We then asked them “How much regret do you have?” at which point they were presented with a 101-point scale ranging from 0 to 100 (in increments of ten) and asked to circle the most appropriate value for the level of regret they felt about their decision and its resulting feedback. For this regret question, a value of 0 indicated no regret and a valueof100indicatedverymuchregret.",1 - regret,No,No,Yes,,"p. 338, Figure 2",,,,,Not reported,Derive from histogram?,"These analyses revealed that the regret ratings for stateoriented individuals did not differ regardless of whether they performed an action or inaction, F (1, 98) = .41, p > .5. ",p.338,0.41,"1, 98",,,p > 0.5,Two tail p,yes,0.523464,,0.13,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=50, n2=50, F=0.13, Output: Cohen's d = 0.13",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,"Calculating Cohen's d from F-tests, taken from ""How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook, plugged in n1=50, n2=50, F=0.13, Output: Cohen's d = 0.13","How to Calculate Effect Sizes from Published Research: A Simplified Spreadsheet"" by Will Thalheimer and Samantha Cook",No,,0.13,"For this decision task, all participants read that they could keep stock in Company X or switch to Company Z. If assigned to the “omission directed” presentation (design to push participants toward omission), participants read that if they keep stock in Company X they would make a $2,000 profit. Alternatively, if they choose to switch to stock in Company Z they would have a one-third probability of making a $6,000 profit and a two-thirds probability of making no profit. However, if assigned to the “commission directed” condition, participants read that if they keep stock in Company X they would have a one-third probability of making a $6,000 profit and a two-thirds probability of making no profit. Otherwise, if they choose to switch to stock in Company Z, they would make a $2,000 profit.",1,deviating from state orientation by taking action,1,,1,participants have the free choice between the risky and non risky option,1,1,Regret - We then asked them “How much regret do you have?” ,99,"For all participants, this feedback indicated that they would have been better off choosing the option that they did not select: specifically, if they choose the safe option they were told that they would have gotten $6,000 with the risky option; and if they chose the risky option, they were told that they got $0.",0,missing the chance to earn 6000$ ,high frequency (often/regularly/most times/habit,state or action orientation indicate a behavioral tendency to that people usually stick
